ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
13,Education,1313,Teacher Education for Specific Subject Areas,131308,Family & Consumer Sciences Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,family-consumer-sciences-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
43,Protective Services,4301,Criminal Justice & Corrections,430104,Criminal Justice - Safety Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,36,criminal-justice-safety-studies,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131309,Technology & Industrial Arts Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,technology-industrial-arts-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
43,Protective Services,4301,Criminal Justice & Corrections,430103,Criminal Justice - Law Enforcement Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,criminal-justice-law-enforcement-administration,"Kings County, NY",05000US36047,kings-county-ny
42,Psychology,4228,"Clinical, Counseling, & Applied Psychology",422804,Industrial & Organizational Psychology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,industrial-organizational-psychology,"Kings County, NY",05000US36047,kings-county-ny
42,Psychology,4227,Research & Experimental Psychology,422799,Other Research & Experimental Psychology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,other-research-experimental-psychology,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131311,Mathematics Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,20,mathematics-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
42,Psychology,4201,General Psychology,420101,General Psychology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,667,general-psychology-6,"Kings County, NY",05000US36047,kings-county-ny
40,Physical Sciences,4008,Physics,400801,General Physics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,7,general-physics,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131312,Music Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,music-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
40,Physical Sciences,4006,Geological & Earth Sciences,400601,General Geology & Earch Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,general-geology-earch-science,"Kings County, NY",05000US36047,kings-county-ny
40,Physical Sciences,4005,Chemistry,400501,General Chemistry,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,50,general-chemistry,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131314,Physical Education Teaching & Coaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,39,physical-education-teaching-coaching,"Kings County, NY",05000US36047,kings-county-ny
39,Theology,3906,Theological & Ministerial Studies,390606,Talmudic Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,842,talmudic-studies,"Kings County, NY",05000US36047,kings-county-ny
39,Theology,3906,Theological & Ministerial Studies,390601,Theological Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,35,theological-studies,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131318,Social Studies Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,18,social-studies-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
39,Theology,3904,Religious Education,390401,Religious Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,23,religious-education-6,"Kings County, NY",05000US36047,kings-county-ny
38,Philosophy and Religious Studies,3802,Religious Studies,380206,Judaic Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,judaic-studies,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131322,Biology Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,biology-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
38,Philosophy and Religious Studies,3802,Religious Studies,380201,Religious Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,religious-studies-6,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131323,Chemistry Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,chemistry-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
38,Philosophy and Religious Studies,3801,Philosophy,380101,Philosophy,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,24,philosophy-6,"Kings County, NY",05000US36047,kings-county-ny
38,Philosophy and Religious Studies,3800,General Philosophy & Religious Studies,380001,General Philosophy & Religious Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,general-philosophy-religious-studies-6,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131325,French Language Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,french-language-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
