ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2016,"2016","04000US36","New York",11184,2186.0878298915623,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2016,"2016","04000US36","New York",4307,1063.362591029043,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016","04000US36","New York",16179,2371.8501217404105,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2016,"2016","04000US36","New York",49226,4492.6567863570435,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2016,"2016","04000US36","New York",2277,772.8725638810062,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2016,"2016","04000US36","New York",9612,1730.2508488655624,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2016,"2016","04000US36","New York",80201,5615.616172781042,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2016,"2016","04000US36","New York",16659,2122.975506217629,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2016,"2016","04000US36","New York",45822,3718.499159607273,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2016,"2016","04000US36","New York",41599,3946.2200901622296,"Bronx County, NY","05000US36005","bronx-county-ny"
